<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,    115.00000,     23.67474,    -11.45350
      0.52615,    136.00000,     23.69245,    -11.45345
      1.05230,    147.00000,     23.71015,    -11.45339
      1.57845,    161.00000,     23.72785,    -11.45334
      2.10460,    178.00000,     23.74556,    -11.45329
      2.63075,    182.00000,     23.76326,    -11.45323
      3.15690,    159.00000,     23.78097,    -11.45317
      3.68305,    137.00000,     23.79867,    -11.45311
      4.20920,     96.00000,     23.81637,    -11.45305
      4.73535,     62.00000,     23.83408,    -11.45299
      5.26150,     35.00000,     23.85178,    -11.45293
      5.78765,     26.00000,     23.86948,    -11.45287
      6.31380,     27.00000,     23.88719,    -11.45281
      6.83995,     36.00000,     23.90489,    -11.45274
      7.36610,     53.00000,     23.92260,    -11.45268
      7.89225,     84.00000,     23.94030,    -11.45261
      8.41840,    191.00000,     23.95800,    -11.45254
      8.94455,    270.00000,     23.97571,    -11.45247
      9.47070,    348.00000,     23.99341,    -11.45240
      9.99685,    401.00000,     24.01111,    -11.45233
     10.52300,    425.00000,     24.02882,    -11.45226
     11.04915,    429.00000,     24.04652,    -11.45219
     11.57530,    429.00000,     24.06423,    -11.45211
     12.10145,    429.00000,     24.08193,    -11.45204
     12.62760,    439.00000,     24.09963,    -11.45196
     13.15375,    486.00000,     24.11734,    -11.45188
     13.67990,    507.00000,     24.13504,    -11.45180
     14.20605,    542.00000,     24.15274,    -11.45172
     14.73220,    589.00000,     24.17045,    -11.45164
     15.25835,    638.00000,     24.18815,    -11.45156
     15.78450,    677.00000,     24.20585,    -11.45148
     16.31065,    698.00000,     24.22356,    -11.45139
     16.83680,    687.00000,     24.24126,    -11.45131
     17.36295,    661.00000,     24.25896,    -11.45122
     17.88910,    629.00000,     24.27667,    -11.45114
     18.41525,    594.00000,     24.29437,    -11.45105
     18.94140,    545.00000,     24.31207,    -11.45096
     19.46755,    492.00000,     24.32978,    -11.45087
     19.99370,    484.00000,     24.34748,    -11.45078
     20.51986,    518.00000,     24.36519,    -11.45068
     21.04601,    529.00000,     24.38289,    -11.45059
     21.57216,    509.00000,     24.40059,    -11.45050
     22.09831,    502.00000,     24.41830,    -11.45040
     22.62446,    551.00000,     24.43600,    -11.45030
     23.15061,    713.00000,     24.45370,    -11.45021
     23.67676,    734.66650,     24.47141,    -11.45011
     24.20291,    760.57318,     24.48911,    -11.45001
     24.72906,    760.57318,     24.50681,    -11.44991
     25.25521,    829.00281,     24.52452,    -11.44980
     25.78136,    934.29956,     24.54222,    -11.44970
     26.30751,    999.60468,     24.55992,    -11.44960
     26.83366,    973.76880,     24.57763,    -11.44949
     27.35981,    976.21497,     24.59533,    -11.44939
     27.88596,    986.46912,     24.61303,    -11.44928
     28.41211,    915.91425,     24.63074,    -11.44917
     28.93826,    788.15942,     24.64844,    -11.44906
     29.46441,    621.49969,     24.66614,    -11.44895
     29.99056,    139.00000,     24.68385,    -11.44884
     30.51671,   -142.00000,     24.70155,    -11.44873
     31.04286,   -437.00000,     24.71925,    -11.44861
     31.56901,   -727.00000,     24.73695,    -11.44850
     32.09516,  -1007.00000,     24.75466,    -11.44838
     32.62131,  -1286.00000,     24.77236,    -11.44827
     33.14746,  -1582.00000,     24.79006,    -11.44815
     33.67361,  -2105.00000,     24.80777,    -11.44803
     34.19976,  -2312.00000,     24.82547,    -11.44791
     34.72591,  -2451.00000,     24.84317,    -11.44779
     35.25206,  -2529.00000,     24.86088,    -11.44766
     35.77821,  -2584.00000,     24.87858,    -11.44754
     36.30436,  -2634.00000,     24.89628,    -11.44742
     36.83051,  -2655.00000,     24.91399,    -11.44729
     37.35666,  -2629.00000,     24.93169,    -11.44717
     37.88281,  -2593.00000,     24.94939,    -11.44704
     38.40896,  -2556.00000,     24.96709,    -11.44691
     38.93511,  -2620.00000,     24.98480,    -11.44678
     39.46126,  -2709.00000,     25.00250,    -11.44665
     39.98741,  -2759.00000,     25.02020,    -11.44652
     40.51356,  -2804.00000,     25.03791,    -11.44638
     41.03971,  -2852.00000,     25.05561,    -11.44625
     41.56586,  -2963.00000,     25.07331,    -11.44612
     42.09201,  -3159.00000,     25.09101,    -11.44598
     42.61816,  -3287.00000,     25.10872,    -11.44584
     43.14431,  -3268.00000,     25.12642,    -11.44570
     43.67046,  -3215.00000,     25.14412,    -11.44556
     44.19661,  -3281.00000,     25.16183,    -11.44542
     44.72276,  -3411.00000,     25.17953,    -11.44528
     45.24891,  -3601.00000,     25.19723,    -11.44514
     45.77506,  -3732.00000,     25.21493,    -11.44500
     46.30121,  -3813.00000,     25.23264,    -11.44485
     46.82736,  -3889.00000,     25.25034,    -11.44471
     47.35351,  -3964.00000,     25.26804,    -11.44456
     47.87966,  -4042.00000,     25.28575,    -11.44441
     48.40581,  -4119.00000,     25.30345,    -11.44426
     48.93196,  -4314.00000,     25.32115,    -11.44411
     49.45811,  -4373.00000,     25.33885,    -11.44396
     49.98426,  -4389.00000,     25.35656,    -11.44381
     50.51041,  -4385.00000,     25.37426,    -11.44366
     51.03656,  -4383.00000,     25.39196,    -11.44350
     51.56271,  -4425.00000,     25.40966,    -11.44335
     52.08886,  -4483.00000,     25.42737,    -11.44319
     52.61501,  -4519.00000,     25.44507,    -11.44304
     53.14116,  -4528.00000,     25.46277,    -11.44288
     53.66731,  -4564.00000,     25.48047,    -11.44272
     54.19346,  -4582.00000,     25.49818,    -11.44256
     54.71961,  -4592.00000,     25.51588,    -11.44240
     55.24576,  -4611.00000,     25.53358,    -11.44223
     55.77191,  -4625.00000,     25.55128,    -11.44207
     56.29806,  -4630.00000,     25.56899,    -11.44190
     56.82421,  -4640.00000,     25.58669,    -11.44174
     57.35036,  -4639.00000,     25.60439,    -11.44157
     57.87651,  -4612.00000,     25.62209,    -11.44140
     58.40266,  -4599.00000,     25.63979,    -11.44123
     58.92881,  -4622.00000,     25.65750,    -11.44106
     59.45496,  -4597.00000,     25.67520,    -11.44089
     59.98111,  -4538.00000,     25.69290,    -11.44072
     60.50726,  -4489.00000,     25.71060,    -11.44055
     61.03342,  -4481.00000,     25.72831,    -11.44037
     61.55957,  -4499.00000,     25.74601,    -11.44020
     62.08572,  -4522.00000,     25.76371,    -11.44002
     62.61187,  -4549.00000,     25.78141,    -11.43984
     63.13802,  -4568.00000,     25.79911,    -11.43967
     63.66417,  -4468.00000,     25.81682,    -11.43949
     64.19032,  -4416.00000,     25.83452,    -11.43931
