<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,  -2407.00000,     25.97792,     -8.45652
      0.57856,  -2408.00000,     25.98007,     -8.47548
      1.15712,  -2416.00000,     25.98222,     -8.49444
      1.73568,  -2424.00000,     25.98438,     -8.51340
      2.31425,  -2422.00000,     25.98653,     -8.53236
      2.89281,  -2416.00000,     25.98869,     -8.55132
      3.47137,  -2414.00000,     25.99084,     -8.57028
      4.04993,  -2410.00000,     25.99300,     -8.58924
      4.62849,  -2409.00000,     25.99515,     -8.60820
      5.20705,  -2409.00000,     25.99731,     -8.62716
      5.78561,  -2408.00000,     25.99946,     -8.64612
      6.36418,  -2408.00000,     26.00162,     -8.66508
      6.94274,  -2408.00000,     26.00378,     -8.68404
      7.52130,  -2405.00000,     26.00593,     -8.70300
      8.09986,  -2391.00000,     26.00809,     -8.72196
      8.67842,  -2374.00000,     26.01025,     -8.74092
      9.25698,  -2380.00000,     26.01240,     -8.75988
      9.83554,  -2381.00000,     26.01456,     -8.77884
     10.41411,  -2376.00000,     26.01672,     -8.79780
     10.99267,  -2374.00000,     26.01888,     -8.81677
     11.57123,  -2372.00000,     26.02103,     -8.83573
     12.14979,  -2372.00000,     26.02319,     -8.85469
     12.72835,  -2375.00000,     26.02535,     -8.87365
     13.30691,  -2377.00000,     26.02751,     -8.89261
     13.88548,  -2382.00000,     26.02967,     -8.91157
     14.46404,  -2361.00000,     26.03183,     -8.93053
     15.04260,  -2335.00000,     26.03399,     -8.94949
     15.62116,  -2327.00000,     26.03615,     -8.96845
     16.19972,  -2335.00000,     26.03831,     -8.98741
     16.77828,  -2338.00000,     26.04047,     -9.00637
     17.35684,  -2342.00000,     26.04263,     -9.02533
     17.93541,  -2355.00000,     26.04479,     -9.04429
     18.51397,  -2355.00000,     26.04695,     -9.06325
     19.09253,  -2361.00000,     26.04911,     -9.08221
     19.67109,  -2349.00000,     26.05127,     -9.10117
     20.24965,  -2321.00000,     26.05343,     -9.12013
     20.82821,  -2289.00000,     26.05559,     -9.13909
     21.40677,  -2245.00000,     26.05776,     -9.15805
     21.98534,  -2197.00000,     26.05992,     -9.17701
     22.56390,  -2121.00000,     26.06208,     -9.19597
     23.14246,  -2000.00000,     26.06424,     -9.21493
     23.72102,  -1725.00000,     26.06641,     -9.23389
     24.29958,  -1613.00000,     26.06857,     -9.25285
     24.87814,  -1508.00000,     26.07073,     -9.27181
     25.45670,  -1414.00000,     26.07290,     -9.29077
     26.03527,  -1440.00000,     26.07506,     -9.30973
     26.61383,  -1459.00000,     26.07722,     -9.32869
     27.19239,  -1459.00000,     26.07939,     -9.34765
     27.77095,  -1429.00000,     26.08155,     -9.36661
     28.34951,  -1288.00000,     26.08372,     -9.38557
     28.92807,  -1242.00000,     26.08588,     -9.40452
     29.50663,  -1205.00000,     26.08805,     -9.42348
     30.08520,  -1190.00000,     26.09021,     -9.44244
     30.66376,  -1210.00000,     26.09238,     -9.46140
     31.24232,  -1247.00000,     26.09454,     -9.48036
     31.82088,  -1270.00000,     26.09671,     -9.49932
     32.39944,  -1267.00000,     26.09888,     -9.51828
     32.97800,  -1267.00000,     26.10104,     -9.53724
     33.55657,  -1280.00000,     26.10321,     -9.55620
     34.13513,  -1282.00000,     26.10538,     -9.57516
     34.71369,  -1273.00000,     26.10755,     -9.59412
     35.29225,  -1260.00000,     26.10971,     -9.61308
     35.87081,  -1247.00000,     26.11188,     -9.63204
     36.44937,  -1196.00000,     26.11405,     -9.65100
     37.02793,  -1212.00000,     26.11622,     -9.66996
     37.60650,  -1220.00000,     26.11839,     -9.68892
     38.18506,  -1232.00000,     26.12056,     -9.70788
     38.76362,  -1210.00000,     26.12272,     -9.72684
     39.34218,  -1137.00000,     26.12489,     -9.74580
     39.92074,  -1046.00000,     26.12706,     -9.76476
     40.49930,   -973.00000,     26.12923,     -9.78372
     41.07786,   -696.00000,     26.13140,     -9.80268
     41.65643,   -498.00000,     26.13357,     -9.82164
     42.23499,   -623.00000,     26.13574,     -9.84060
     42.81355,   -843.00000,     26.13791,     -9.85956
     43.39211,  -1038.00000,     26.14009,     -9.87852
     43.97067,  -1146.00000,     26.14226,     -9.89748
     44.54923,  -1305.00000,     26.14443,     -9.91643
     45.12779,  -1496.00000,     26.14660,     -9.93539
     45.70636,  -1747.00000,     26.14877,     -9.95435
     46.28492,  -1993.00000,     26.15094,     -9.97331
     46.86348,  -2263.00000,     26.15312,     -9.99227
     47.44204,  -2527.00000,     26.15529,    -10.01123
     48.02060,  -2779.00000,     26.15746,    -10.03019
     48.59916,  -3022.00000,     26.15964,    -10.04915
     49.17772,  -3287.00000,     26.16181,    -10.06811
     49.75629,  -3268.00000,     26.16398,    -10.08707
     50.33485,  -3258.00000,     26.16616,    -10.10603
     50.91341,  -3320.00000,     26.16833,    -10.12499
     51.49197,  -3384.00000,     26.17051,    -10.14395
     52.07053,  -3449.00000,     26.17268,    -10.16291
     52.64909,  -3487.00000,     26.17486,    -10.18187
     53.22765,  -3473.00000,     26.17703,    -10.20082
     53.80622,  -3483.00000,     26.17921,    -10.21978
     54.38478,  -3535.00000,     26.18138,    -10.23874
     54.96334,  -3650.00000,     26.18356,    -10.25770
     55.54190,  -3869.00000,     26.18574,    -10.27666
     56.12046,  -3956.00000,     26.18791,    -10.29562
     56.69902,  -4378.00000,     26.19009,    -10.31458
     57.27759,  -4418.00000,     26.19227,    -10.33354
     57.85615,  -4433.00000,     26.19444,    -10.35250
     58.43471,  -4477.00000,     26.19662,    -10.37146
     59.01327,  -4541.00000,     26.19880,    -10.39042
     59.59183,  -4601.00000,     26.20098,    -10.40937
     60.17039,  -4662.00000,     26.20316,    -10.42833
     60.74895,  -4676.00000,     26.20534,    -10.44729
     61.32752,  -4686.00000,     26.20751,    -10.46625
     61.90608,  -4693.00000,     26.20969,    -10.48521
     62.48464,  -4697.00000,     26.21187,    -10.50417
     63.06320,  -4700.00000,     26.21405,    -10.52313
     63.64176,  -4701.00000,     26.21623,    -10.54209
     64.22032,  -4703.00000,     26.21841,    -10.56105
     64.79888,  -4703.00000,     26.22059,    -10.58001
     65.37745,  -4715.00000,     26.22278,    -10.59896
     65.95601,  -4716.00000,     26.22496,    -10.61792
     66.53457,  -4723.00000,     26.22714,    -10.63688
     67.11313,  -4729.00000,     26.22932,    -10.65584
     67.69169,  -4726.00000,     26.23150,    -10.67480
     68.27025,  -4720.00000,     26.23368,    -10.69376
     68.84881,  -4722.00000,     26.23587,    -10.71272
     69.42738,  -4729.00000,     26.23805,    -10.73168
     70.00594,  -4731.00000,     26.24023,    -10.75064
     70.58450,  -4741.00000,     26.24242,    -10.76959
     71.16306,  -4748.00000,     26.24460,    -10.78855
     71.74162,  -4740.00000,     26.24678,    -10.80751
     72.32018,  -4706.00000,     26.24897,    -10.82647
     72.89874,  -4692.00000,     26.25115,    -10.84543
     73.47731,  -4712.00000,     26.25334,    -10.86439
     74.05587,  -4728.00000,     26.25552,    -10.88335
     74.63443,  -4719.00000,     26.25771,    -10.90231
     75.21299,  -4704.00000,     26.25989,    -10.92126
     75.79155,  -4706.00000,     26.26208,    -10.94022
     76.37011,  -4724.00000,     26.26427,    -10.95918
     76.94868,  -4732.00000,     26.26645,    -10.97814
     77.52724,  -4728.00000,     26.26864,    -10.99710
     78.10580,  -4731.00000,     26.27083,    -11.01606
     78.68436,  -4726.00000,     26.27301,    -11.03502
     79.26292,  -4703.00000,     26.27520,    -11.05397
     79.84148,  -4681.00000,     26.27739,    -11.07293
     80.42004,  -4701.00000,     26.27958,    -11.09189
     80.99861,  -4735.00000,     26.28176,    -11.11085
     81.57717,  -4736.00000,     26.28395,    -11.12981
     82.15573,  -4717.00000,     26.28614,    -11.14877
     82.73429,  -4709.00000,     26.28833,    -11.16773
     83.31285,  -4704.00000,     26.29052,    -11.18668
     83.89141,  -4710.00000,     26.29271,    -11.20564
     84.46997,  -4736.00000,     26.29490,    -11.22460
     85.04854,  -4747.00000,     26.29709,    -11.24356
     85.62710,  -4698.00000,     26.29928,    -11.26252
     86.20566,  -4391.00000,     26.30147,    -11.28148
     86.78422,  -4171.00000,     26.30366,    -11.30043
     87.36278,  -3993.00000,     26.30586,    -11.31939
     87.94134,  -3532.00000,     26.30805,    -11.33835
     88.51990,  -3395.00000,     26.31024,    -11.35731
     89.09847,  -3217.00000,     26.31243,    -11.37627
     89.67703,  -3051.00000,     26.31463,    -11.39523
     90.25559,  -2907.00000,     26.31682,    -11.41418
     90.83415,  -2965.00000,     26.31901,    -11.43314
     91.41271,  -3128.00000,     26.32121,    -11.45210
     91.99127,  -3331.00000,     26.32340,    -11.47106
     92.56983,  -3454.00000,     26.32559,    -11.49002
     93.14840,  -3669.00000,     26.32779,    -11.50897
     93.72696,  -3861.00000,     26.32998,    -11.52793
     94.30552,  -4214.00000,     26.33218,    -11.54689
     94.88408,  -4230.00000,     26.33437,    -11.56585
     95.46264,  -3807.00000,     26.33657,    -11.58481
     96.04120,  -3549.00000,     26.33876,    -11.60376
     96.61976,  -3454.00000,     26.34096,    -11.62272
     97.19833,  -3214.00000,     26.34316,    -11.64168
     97.77689,  -3006.00000,     26.34535,    -11.66064
     98.35545,  -2603.00000,     26.34755,    -11.67960
     98.93401,  -2521.00000,     26.34975,    -11.69856
     99.51257,  -2589.00000,     26.35195,    -11.71751
    100.09113,  -2743.00000,     26.35415,    -11.73647
    100.66970,  -2898.00000,     26.35634,    -11.75543
    101.24826,  -2897.00000,     26.35854,    -11.77439
    101.82682,  -2971.00000,     26.36074,    -11.79334
    102.40538,  -3033.00000,     26.36294,    -11.81230
    102.98394,  -3195.00000,     26.36514,    -11.83126
    103.56250,  -3446.00000,     26.36734,    -11.85022
    104.14106,  -3591.00000,     26.36954,    -11.86918
    104.71963,  -3705.00000,     26.37174,    -11.88813
    105.29819,  -3798.00000,     26.37394,    -11.90709
    105.87675,  -3952.00000,     26.37614,    -11.92605
    106.45531,  -4080.00000,     26.37834,    -11.94501
    107.03387,  -4100.00000,     26.38055,    -11.96397
    107.61243,  -4111.00000,     26.38275,    -11.98292
    108.19099,  -4131.00000,     26.38495,    -12.00188
    108.76956,  -4167.00000,     26.38715,    -12.02084
    109.34812,  -4218.00000,     26.38936,    -12.03980
    109.92668,  -4275.00000,     26.39156,    -12.05875
    110.50524,  -4407.00000,     26.39376,    -12.07771
    111.08380,  -4531.00000,     26.39597,    -12.09667
    111.66236,  -4580.00000,     26.39817,    -12.11563
    112.24092,  -4632.00000,     26.40038,    -12.13458
    112.81949,  -4660.00000,     26.40258,    -12.15354
